BCIConfidence;BCIState;Email;Event;Framecount;SessionID;Timestamp
0.2228;ReceivingData;anonymous;Sample;6967;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:06.0432
0.2339;ReceivingData;anonymous;Sample;6973;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:06.1945
0.2654;ReceivingData;anonymous;Sample;6979;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:06.3437
0.2795;ReceivingData;anonymous;Sample;6985;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:06.4937
0.3053;ReceivingData;anonymous;Sample;6991;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:06.6434
0.3471;ReceivingData;anonymous;Sample;6997;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:06.7938
0.4786;ReceivingData;anonymous;Sample;7003;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:06.9606
0.6045;ReceivingData;anonymous;Sample;7009;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:07.1126
0.6219;ReceivingData;anonymous;Sample;7015;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:07.2608
0.6052;ReceivingData;anonymous;Sample;7021;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:07.4125
0.6037;ReceivingData;anonymous;Sample;7027;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:07.5620
0.7128;ReceivingData;anonymous;Sample;7033;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:07.7121
0.7960;ReceivingData;anonymous;Sample;7039;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:07.8793
0.8330;ReceivingData;anonymous;Sample;7045;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:08.0291
0.8430;ReceivingData;anonymous;Sample;7051;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:08.1791
0.8513;ReceivingData;anonymous;Sample;7057;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:08.3296
0.8439;ReceivingData;anonymous;Sample;7063;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:08.4781
0.8284;ReceivingData;anonymous;Sample;7069;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:08.6286
0.8229;ReceivingData;anonymous;Sample;7075;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:08.7792
0.8229;ReceivingData;anonymous;Sample;7080;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:08.9310
0.2228;ReceivingData;anonymous;Sample;7086;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:09.0993
0.2339;ReceivingData;anonymous;Sample;7091;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:09.2472
0.2654;ReceivingData;anonymous;Sample;7096;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:09.3977
0.2228;ReceivingData;anonymous;Sample;7746;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:26.5263
0.2339;ReceivingData;anonymous;Sample;7752;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:26.6781
0.2654;ReceivingData;anonymous;Sample;7758;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:26.8442
0.2795;ReceivingData;anonymous;Sample;7764;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:26.9971
0.3053;ReceivingData;anonymous;Sample;7770;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:27.1610
0.3471;ReceivingData;anonymous;Sample;7776;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:27.3142
0.4786;ReceivingData;anonymous;Sample;7782;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:27.4836
0.6045;ReceivingData;anonymous;Sample;7788;a1160f85-6f17-410d-b05b-c507ba29e62b;2023-05-10 10:25:27.6279
