Attack;BCI attempt;BCIConfidence;BCIState;BCIThresholdBuffer;Email;Event;Framecount;Gamemode;GoblinName;InputNumber;Nr of Turns;Player Health;Player Mana;PlayerTurn;SessionID;Success BCI;Take Damage;Timestamp
NULL;NULL;NULL;Connecting;NULL;anonymous;BCIStateUpdated;6999;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:13:38.9643
NULL;NULL;NULL;NULL;NULL;anonymous;Scene Start;6999;Battery;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:13:38.9673
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;6999;NULL;NULL;NULL;1;NULL;NULL;TRUE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:13:38.9719
NULL;NULL;NULL;ReceivingHeader;NULL;anonymous;BCIStateUpdated;7023;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:13:39.5532
NULL;NULL;NULL;ReceivingData;NULL;anonymous;BCIStateUpdated;7023;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:13:39.5532
NULL;NULL;0.8229;ReceivingData;NULL;anonymous;MotorImagery;7388;NULL;NULL;1;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:13:47.3723
NULL;NULL;NULL;NULL;(0.844 0.828 0.823 0.713 0.796 0.833 0.843 0.851 );anonymous;NULL;7388;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:13:47.3723
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;7388;NULL;NULL;NULL;NULL;20.0000;0.0000;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;0;2023-05-10 12:13:47.3733
NULL;1;NULL;NULL;NULL;anonymous;BciSuccess;7388;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;TRUE;NULL;2023-05-10 12:13:47.3733
NULL;2;NULL;NULL;NULL;anonymous;BciFail;7998;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;FALSE;NULL;2023-05-10 12:14:00.3154
NULL;3;NULL;NULL;NULL;anonymous;BciFail;8592;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;FALSE;NULL;2023-05-10 12:14:13.2432
NULL;NULL;0.8229;ReceivingData;NULL;anonymous;MotorImagery;9170;NULL;NULL;2;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:14:26.0383
NULL;NULL;NULL;NULL;(0.844 0.828 0.823 0.713 0.796 0.833 0.843 0.851 );anonymous;NULL;9170;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:14:26.0388
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;9170;NULL;NULL;NULL;NULL;20.0000;2.0000;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;0;2023-05-10 12:14:26.0393
NULL;4;NULL;NULL;NULL;anonymous;BciSuccess;9170;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;TRUE;NULL;2023-05-10 12:14:26.0398
NULL;NULL;0.8229;ReceivingData;NULL;anonymous;MotorImagery;9600;NULL;NULL;3;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:14:35.3451
NULL;NULL;NULL;NULL;(0.844 0.828 0.823 0.713 0.796 0.833 0.843 0.851 );anonymous;NULL;9600;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:14:35.3467
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;9600;NULL;NULL;NULL;NULL;20.0000;4.0000;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;0;2023-05-10 12:14:35.3472
NULL;5;NULL;NULL;NULL;anonymous;BciSuccess;9600;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;TRUE;NULL;2023-05-10 12:14:35.3472
NULL;NULL;0.8229;ReceivingData;NULL;anonymous;MotorImagery;10042;NULL;NULL;4;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:14:45.0022
NULL;NULL;NULL;NULL;(0.844 0.828 0.823 0.713 0.796 0.833 0.843 0.851 );anonymous;NULL;10042;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:14:45.0022
NULL;NULL;NULL;NULL;NULL;anonymous;RegenMana;10042;NULL;NULL;NULL;NULL;20.0000;6.0000;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;0;2023-05-10 12:14:45.0032
NULL;6;NULL;NULL;NULL;anonymous;BciSuccess;10042;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;TRUE;NULL;2023-05-10 12:14:45.0032
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;10106;NULL;NULL;NULL;1;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:14:46.5410
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;10158;NULL;NULL;NULL;1;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:14:47.5914
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;10160;NULL;NULL;NULL;1;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:14:47.6221
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;10200;NULL;NULL;NULL;1;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:14:48.4394
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;10256;NULL;NULL;NULL;1;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:14:49.5909
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;10265;NULL;NULL;NULL;1;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:14:49.7922
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;10288;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:14:50.3108
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;10289;NULL;NULL;NULL;2;NULL;NULL;TRUE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:14:50.3255
NULL;NULL;NULL;NULL;NULL;anonymous;Player Moving;10364;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:14:52.1710
NULL;NULL;NULL;NULL;NULL;anonymous;End Player Turn;10479;NULL;NULL;NULL;2;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:14:54.8802
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;10479;NULL;NULL;NULL;2;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:14:54.8802
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;10487;NULL;NULL;NULL;2;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:14:55.0631
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;10489;NULL;NULL;NULL;2;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:14:55.1120
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;10525;NULL;NULL;NULL;2;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:14:56.0292
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;10599;NULL;NULL;NULL;2;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:14:57.9175
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;10660;NULL;NULL;NULL;2;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:14:59.4821
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;10669;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:14:59.7148
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;10670;NULL;NULL;NULL;3;NULL;NULL;TRUE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:14:59.7313
NULL;NULL;NULL;NULL;NULL;anonymous;Player Moving;10771;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:02.4028
NULL;NULL;NULL;NULL;NULL;anonymous;End Player Turn;10908;NULL;NULL;NULL;3;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:05.8367
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;10908;NULL;NULL;NULL;3;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:05.8367
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;10930;NULL;NULL;NULL;3;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:06.3715
NULL;NULL;NULL;NULL;NULL;anonymous;Player Hurt;10936;NULL;NULL;NULL;NULL;19.0000;8.0000;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;1;2023-05-10 12:15:06.5197
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;10940;NULL;NULL;NULL;3;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:06.6233
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;10964;NULL;NULL;NULL;3;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:07.1718
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;10998;NULL;NULL;NULL;3;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:07.9728
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11026;NULL;NULL;NULL;3;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:08.6560
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;11074;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:09.8270
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;11075;NULL;NULL;NULL;4;NULL;NULL;TRUE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:09.8406
1;NULL;NULL;NULL;NULL;anonymous;Player Attacking;11130;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:11.2700
NULL;NULL;NULL;NULL;NULL;anonymous;Goblin Death;11160;NULL;Goblin 2 Variant (1);NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:12.0615
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11199;NULL;NULL;NULL;4;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:13.1101
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11259;NULL;NULL;NULL;4;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:14.5803
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11290;NULL;NULL;NULL;4;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:15.2976
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11292;NULL;NULL;NULL;4;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:15.3359
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11353;NULL;NULL;NULL;4;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:16.7990
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;11373;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:17.2658
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;11374;NULL;NULL;NULL;5;NULL;NULL;TRUE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:17.2978
NULL;NULL;NULL;NULL;NULL;anonymous;Player Moving;11417;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:18.4074
NULL;NULL;NULL;NULL;NULL;anonymous;End Player Turn;11552;NULL;NULL;NULL;5;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:21.8023
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11552;NULL;NULL;NULL;5;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:21.8033
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11563;NULL;NULL;NULL;5;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:22.0500
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11598;NULL;NULL;NULL;5;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:22.9007
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11646;NULL;NULL;NULL;5;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:24.0347
NULL;NULL;NULL;NULL;NULL;anonymous;Start Goblin Turn;11669;NULL;NULL;NULL;5;NULL;NULL;FALSE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:24.6222
NULL;NULL;NULL;NULL;NULL;anonymous;End Goblin Turn;11694;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:25.2541
NULL;NULL;NULL;NULL;NULL;anonymous;Start Player Turn;11695;NULL;NULL;NULL;6;NULL;NULL;TRUE;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:25.2708
NULL;NULL;NULL;NULL;NULL;anonymous;Player Moving;11744;NULL;NULL;NULL;NULL;NULL;NULL;NULL;9de440ce-e5b7-4a2f-93b4-99fb781c6b15;NULL;NULL;2023-05-10 12:15:26.7619
