BCIConfidence;BCIState;Email;Event;Framecount;SessionID;Timestamp
0.2228;ReceivingData;anonymous;Sample;5021;56fc3781-d0c4-4aea-8381-635fc5a6a4be;2023-05-11 10:10:47.3841
0.2339;ReceivingData;anonymous;Sample;5027;56fc3781-d0c4-4aea-8381-635fc5a6a4be;2023-05-11 10:10:47.5533
0.2654;ReceivingData;anonymous;Sample;5033;56fc3781-d0c4-4aea-8381-635fc5a6a4be;2023-05-11 10:10:47.7182
0.2795;ReceivingData;anonymous;Sample;5039;56fc3781-d0c4-4aea-8381-635fc5a6a4be;2023-05-11 10:10:47.8832
0.3053;ReceivingData;anonymous;Sample;5045;56fc3781-d0c4-4aea-8381-635fc5a6a4be;2023-05-11 10:10:48.0518
0.3471;ReceivingData;anonymous;Sample;5051;56fc3781-d0c4-4aea-8381-635fc5a6a4be;2023-05-11 10:10:48.2173
0.4786;ReceivingData;anonymous;Sample;5056;56fc3781-d0c4-4aea-8381-635fc5a6a4be;2023-05-11 10:10:48.3681
0.6045;ReceivingData;anonymous;Sample;5062;56fc3781-d0c4-4aea-8381-635fc5a6a4be;2023-05-11 10:10:48.5377
0.6219;ReceivingData;anonymous;Sample;5067;56fc3781-d0c4-4aea-8381-635fc5a6a4be;2023-05-11 10:10:48.6863
0.6052;ReceivingData;anonymous;Sample;5073;56fc3781-d0c4-4aea-8381-635fc5a6a4be;2023-05-11 10:10:48.8525
0.6037;ReceivingData;anonymous;Sample;5079;56fc3781-d0c4-4aea-8381-635fc5a6a4be;2023-05-11 10:10:49.0186
0.7128;ReceivingData;anonymous;Sample;5085;56fc3781-d0c4-4aea-8381-635fc5a6a4be;2023-05-11 10:10:49.1848
0.7960;ReceivingData;anonymous;Sample;5091;56fc3781-d0c4-4aea-8381-635fc5a6a4be;2023-05-11 10:10:49.3516
0.8330;ReceivingData;anonymous;Sample;5097;56fc3781-d0c4-4aea-8381-635fc5a6a4be;2023-05-11 10:10:49.5183
0.8430;ReceivingData;anonymous;Sample;5103;56fc3781-d0c4-4aea-8381-635fc5a6a4be;2023-05-11 10:10:49.6863
0.8513;ReceivingData;anonymous;Sample;5109;56fc3781-d0c4-4aea-8381-635fc5a6a4be;2023-05-11 10:10:49.8554
0.8439;ReceivingData;anonymous;Sample;5115;56fc3781-d0c4-4aea-8381-635fc5a6a4be;2023-05-11 10:10:50.0228
0.8284;ReceivingData;anonymous;Sample;5121;56fc3781-d0c4-4aea-8381-635fc5a6a4be;2023-05-11 10:10:50.1853
0.8229;ReceivingData;anonymous;Sample;5127;56fc3781-d0c4-4aea-8381-635fc5a6a4be;2023-05-11 10:10:50.3531
0.8229;ReceivingData;anonymous;Sample;5133;56fc3781-d0c4-4aea-8381-635fc5a6a4be;2023-05-11 10:10:50.5033
0.2228;ReceivingData;anonymous;Sample;5138;56fc3781-d0c4-4aea-8381-635fc5a6a4be;2023-05-11 10:10:50.6539
0.2339;ReceivingData;anonymous;Sample;5144;56fc3781-d0c4-4aea-8381-635fc5a6a4be;2023-05-11 10:10:50.8191
