;;;;;Interval;;;;;;;Battery;
Event;Gamemode;Success BCI;NULL;Timestamp;Interval;Null;;Event;Success BCI;Timestamp;NULL;Null;Null
BCIStateUpdated;NULL;NULL;NULL;49:21.1;BCIStateUpdated;NULL;;BCIStateUpdated;NULL;55:23.0;NULL;BCIStateUpdated;NULL
Scene Start;Interval;NULL;NULL;49:21.1;Scene Start;NULL;;Scene Start;NULL;55:23.0;NULL;Scene Start;NULL
Start Player Turn;NULL;NULL;NULL;49:21.1;Start Player Turn;NULL;;Start Player Turn;NULL;55:23.0;NULL;Start Player Turn;NULL
BCIStateUpdated;NULL;NULL;NULL;49:21.7;BCIStateUpdated;NULL;;BCIStateUpdated;NULL;55:23.5;NULL;BCIStateUpdated;NULL
BCIStateUpdated;NULL;NULL;NULL;49:21.7;BCIStateUpdated;NULL;;BCIStateUpdated;NULL;55:23.5;NULL;BCIStateUpdated;NULL
Player Moving;NULL;NULL;NULL;49:24.0;Player Moving;NULL;;Player Moving;NULL;55:25.3;NULL;Player Moving;NULL
End Player Turn;NULL;NULL;NULL;49:27.5;End Player Turn;NULL;;End Player Turn;NULL;55:28.7;NULL;End Player Turn;NULL
Start Goblin Turn;NULL;NULL;NULL;49:27.5;Start Goblin Turn;NULL;;Start Goblin Turn;NULL;55:28.7;NULL;Start Goblin Turn;NULL
Start Goblin Turn;NULL;NULL;NULL;49:28.5;Start Goblin Turn;NULL;;Start Goblin Turn;NULL;55:29.8;NULL;Start Goblin Turn;NULL
Start Goblin Turn;NULL;NULL;NULL;49:28.6;Start Goblin Turn;NULL;;Start Goblin Turn;NULL;55:29.8;NULL;Start Goblin Turn;NULL
Start Goblin Turn;NULL;NULL;NULL;49:29.4;Start Goblin Turn;NULL;;Start Goblin Turn;NULL;55:30.7;NULL;Start Goblin Turn;NULL
Start Goblin Turn;NULL;NULL;NULL;49:30.5;Start Goblin Turn;NULL;;Start Goblin Turn;NULL;55:31.9;NULL;Start Goblin Turn;NULL
Start Goblin Turn;NULL;NULL;NULL;49:30.8;Start Goblin Turn;NULL;;Start Goblin Turn;NULL;55:32.1;NULL;Start Goblin Turn;NULL
End Goblin Turn;NULL;NULL;NULL;49:31.3;End Goblin Turn;NULL;;End Goblin Turn;NULL;55:32.6;NULL;End Goblin Turn;NULL
Start Player Turn;NULL;NULL;NULL;49:31.3;Start Player Turn;NULL;;Start Player Turn;NULL;55:32.6;NULL;Start Player Turn;NULL
Player Moving;NULL;NULL;NULL;49:33.0;Player Moving;NULL;;BciFail;FALSE;55:39.9;NULL;BciFail;FALSE
End Player Turn;NULL;NULL;NULL;49:36.8;End Player Turn;NULL;;MotorImagery;NULL;55:51.0;NULL;MotorImagery;NULL
Start Goblin Turn;NULL;NULL;NULL;49:36.8;Start Goblin Turn;NULL;;NULL;NULL;55:51.0;NULL;NULL;NULL
Player Hurt;NULL;NULL;NULL;49:37.1;Player Hurt;NULL;;RegenMana;NULL;55:51.0;NULL;RegenMana;NULL
Start Goblin Turn;NULL;NULL;NULL;49:37.1;Start Goblin Turn;NULL;;BciSuccess;TRUE;55:51.0;NULL;BciSuccess;TRUE
Start Goblin Turn;NULL;NULL;NULL;49:37.1;Start Goblin Turn;NULL;;MotorImagery;NULL;55:58.9;NULL;MotorImagery;NULL
Start Goblin Turn;NULL;NULL;NULL;49:38.0;Start Goblin Turn;NULL;;NULL;NULL;55:58.9;NULL;NULL;NULL
Start Goblin Turn;NULL;NULL;NULL;49:38.8;Start Goblin Turn;NULL;;RegenMana;NULL;55:58.9;NULL;RegenMana;NULL
Start Goblin Turn;NULL;NULL;NULL;49:40.2;Start Goblin Turn;NULL;;BciSuccess;TRUE;55:58.9;NULL;BciSuccess;TRUE
End Goblin Turn;NULL;NULL;NULL;49:40.4;End Goblin Turn;NULL;;MotorImagery;NULL;56:09.2;NULL;MotorImagery;NULL
Start Player Turn;NULL;NULL;NULL;49:40.4;Start Player Turn;NULL;;NULL;NULL;56:09.2;NULL;NULL;NULL
MotorImagery;NULL;NULL;NULL;49:50.0;MotorImagery;NULL;;RegenMana;NULL;56:09.2;NULL;RegenMana;NULL
NULL;NULL;NULL;NULL;49:50.0;NULL;NULL;;BciSuccess;TRUE;56:09.2;NULL;BciSuccess;TRUE
RegenMana;NULL;NULL;NULL;49:50.0;RegenMana;NULL;;MotorImagery;NULL;56:18.8;NULL;MotorImagery;NULL
BciSuccess;NULL;TRUE;NULL;49:50.0;BciSuccess;TRUE;;NULL;NULL;56:18.8;NULL;NULL;NULL
Goblin Death;NULL;NULL;NULL;49:50.8;Goblin Death;NULL;;RegenMana;NULL;56:18.8;NULL;RegenMana;NULL
Start Goblin Turn;NULL;NULL;NULL;49:51.8;Start Goblin Turn;NULL;;BciSuccess;TRUE;56:18.8;NULL;BciSuccess;TRUE
Start Goblin Turn;NULL;NULL;NULL;49:51.9;Start Goblin Turn;NULL;;Start Goblin Turn;NULL;56:20.4;NULL;Start Goblin Turn;NULL
Start Goblin Turn;NULL;NULL;NULL;49:52.3;Start Goblin Turn;NULL;;Start Goblin Turn;NULL;56:20.6;NULL;Start Goblin Turn;NULL
Start Goblin Turn;NULL;NULL;NULL;49:53.0;Start Goblin Turn;NULL;;Start Goblin Turn;NULL;56:20.6;NULL;Start Goblin Turn;NULL
Start Goblin Turn;NULL;NULL;NULL;49:53.7;Start Goblin Turn;NULL;;Start Goblin Turn;NULL;56:21.5;NULL;Start Goblin Turn;NULL
End Goblin Turn;NULL;NULL;NULL;49:54.8;End Goblin Turn;NULL;;Start Goblin Turn;NULL;56:22.7;NULL;Start Goblin Turn;NULL
Start Player Turn;NULL;NULL;NULL;49:54.9;Start Player Turn;NULL;;Start Goblin Turn;NULL;56:24.2;NULL;Start Goblin Turn;NULL
MotorImagery;NULL;NULL;NULL;50:06.1;MotorImagery;NULL;;End Goblin Turn;NULL;56:24.4;NULL;End Goblin Turn;NULL
NULL;NULL;NULL;NULL;50:06.1;NULL;NULL;;Start Player Turn;NULL;56:24.4;NULL;Start Player Turn;NULL
RegenMana;NULL;NULL;NULL;50:06.1;RegenMana;NULL;;Player Moving;NULL;56:25.5;NULL;Player Moving;NULL
BciSuccess;NULL;TRUE;NULL;50:06.1;BciSuccess;TRUE;;End Player Turn;NULL;56:28.9;NULL;End Player Turn;NULL
Start Goblin Turn;NULL;NULL;NULL;50:08.2;Start Goblin Turn;NULL;;Start Goblin Turn;NULL;56:28.9;NULL;Start Goblin Turn;NULL
